GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
0500000US12086,12086,"Miami-Dade County, Florida",2496435(r37959)
0500000US12087,12087,"Monroe County, Florida",73090
0500000US12089,12089,"Nassau County, Florida",73314
0500000US12091,12091,"Okaloosa County, Florida",180822
0500000US12093,12093,"Okeechobee County, Florida",39996
0500000US12095,12095,"Orange County, Florida",1145956
0500000US12097,12097,"Osceola County, Florida",268685
0500000US12099,12099,"Palm Beach County, Florida",1320134
0500000US12101,12101,"Pasco County, Florida",464697
0500000US12103,12103,"Pinellas County, Florida",916542
0500000US12105,12105,"Polk County, Florida",602095
0500000US12107,12107,"Putnam County, Florida",74364
0500000US12109,12109,"St. Johns County, Florida",190039
0500000US12111,12111,"St. Lucie County, Florida",277789
0500000US12113,12113,"Santa Rosa County, Florida",151372
0500000US12115,12115,"Sarasota County, Florida",379448
0500000US12117,12117,"Seminole County, Florida",422718
0500000US12119,12119,"Sumter County, Florida",93420
0500000US12121,12121,"Suwannee County, Florida",41551
0500000US12123,12123,"Taylor County, Florida",22570
0500000US12125,12125,"Union County, Florida",15535
0500000US12127,12127,"Volusia County, Florida",494593
0500000US12129,12129,"Wakulla County, Florida",30776
0500000US12131,12131,"Walton County, Florida",55043
0500000US12133,12133,"Washington County, Florida",24896
0500000US13001,13001,"Appling County, Georgia",18236
0500000US13003,13003,"Atkinson County, Georgia",8375
0500000US13005,13005,"Bacon County, Georgia",11096
0500000US13007,13007,"Baker County, Georgia",3451
0500000US13009,13009,"Baldwin County, Georgia",45720
0500000US13011,13011,"Banks County, Georgia",18395
0500000US13013,13013,"Barrow County, Georgia",69367
0500000US13015,13015,"Bartow County, Georgia",100157
0500000US13017,13017,"Ben Hill County, Georgia",17634
0500000US13019,13019,"Berrien County, Georgia",19286
0500000US13021,13021,"Bibb County, Georgia",155547
0500000US13023,13023,"Bleckley County, Georgia",13063
0500000US13025,13025,"Brantley County, Georgia",18411
0500000US13027,13027,"Brooks County, Georgia",16243
0500000US13029,13029,"Bryan County, Georgia",30233
0500000US13031,13031,"Bulloch County, Georgia",70217
0500000US13033,13033,"Burke County, Georgia",23316
0500000US13035,13035,"Butts County, Georgia",23655
0500000US13037,13037,"Calhoun County, Georgia",6694
0500000US13039,13039,"Camden County, Georgia",50513
0500000US13043,13043,"Candler County, Georgia",10998
0500000US13045,13045,"Carroll County, Georgia",110527
0500000US13047,13047,"Catoosa County, Georgia",63942
0500000US13049,13049,"Charlton County, Georgia",12171
0500000US13051,13051,"Chatham County, Georgia",265128(r38634)
0500000US13053,13053,"Chattahoochee County, Georgia",11267
0500000US13055,13055,"Chattooga County, Georgia",26015
0500000US13057,13057,"Cherokee County, Georgia",214346
0500000US13059,13059,"Clarke County, Georgia",116714
0500000US13061,13061,"Clay County, Georgia",3183
0500000US13063,13063,"Clayton County, Georgia",259424
0500000US13065,13065,"Clinch County, Georgia",6798
0500000US13067,13067,"Cobb County, Georgia",688078
0500000US13069,13069,"Coffee County, Georgia",42356
0500000US13071,13071,"Colquitt County, Georgia",45498
0500000US13073,13073,"Columbia County, Georgia",124053
0500000US13075,13075,"Cook County, Georgia",17212
0500000US13077,13077,"Coweta County, Georgia",127317
0500000US13079,13079,"Crawford County, Georgia",12630
0500000US13081,13081,"Crisp County, Georgia",23439
0500000US13083,13083,"Dade County, Georgia",16633
0500000US13085,13085,"Dawson County, Georgia",22330
0500000US13087,13087,"Decatur County, Georgia",27842
0500000US13089,13089,"DeKalb County, Georgia",691893
0500000US13091,13091,"Dodge County, Georgia",21796
0500000US13093,13093,"Dooly County, Georgia",14918
0500000US13095,13095,"Dougherty County, Georgia",94565
0500000US13097,13097,"Douglas County, Georgia",132403
0500000US13099,13099,"Early County, Georgia",11008
0500000US13101,13101,"Echols County, Georgia",4034
0500000US13103,13103,"Effingham County, Georgia",52250
0500000US13105,13105,"Elbert County, Georgia",20166
0500000US13107,13107,"Emanuel County, Georgia",22598
0500000US13109,13109,"Evans County, Georgia",11000
0500000US13111,13111,"Fannin County, Georgia",23682
0500000US13113,13113,"Fayette County, Georgia",106567
0500000US13115,13115,"Floyd County, Georgia",96317
0500000US13117,13117,"Forsyth County, Georgia",175511
0500000US13119,13119,"Franklin County, Georgia",22084
0500000US13121,13121,"Fulton County, Georgia",920581
0500000US13123,13123,"Gilmer County, Georgia",28292
0500000US13125,13125,"Glascock County, Georgia",3082
0500000US13127,13127,"Glynn County, Georgia",79626
0500000US13129,13129,"Gordon County, Georgia",55186
0500000US13131,13131,"Grady County, Georgia",25011
0500000US13133,13133,"Greene County, Georgia",15994
0500000US13135,13135,"Gwinnett County, Georgia",805321
0500000US13137,13137,"Habersham County, Georgia",43041
0500000US13139,13139,"Hall County, Georgia",179684
0500000US13141,13141,"Hancock County, Georgia",9429
0500000US13143,13143,"Haralson County, Georgia",28780
0500000US13145,13145,"Harris County, Georgia",32024
0500000US13147,13147,"Hart County, Georgia",25213
0500000US13149,13149,"Heard County, Georgia",11834
0500000US13151,13151,"Henry County, Georgia",203922
0500000US13153,13153,"Houston County, Georgia",139900
0500000US13155,13155,"Irwin County, Georgia",9538
0500000US13157,13157,"Jackson County, Georgia",60485
0500000US13159,13159,"Jasper County, Georgia",13900
0500000US13161,13161,"Jeff Davis County, Georgia",15068
0500000US13163,13163,"Jefferson County, Georgia",16930
0500000US13165,13165,"Jenkins County, Georgia",8340
0500000US13167,13167,"Johnson County, Georgia",9980
0500000US13169,13169,"Jones County, Georgia",28669
0500000US13171,13171,"Lamar County, Georgia",18317
0500000US13173,13173,"Lanier County, Georgia",10078
0500000US13175,13175,"Laurens County, Georgia",48434
0500000US13177,13177,"Lee County, Georgia",28298
0500000US13179,13179,"Liberty County, Georgia",63453
0500000US13181,13181,"Lincoln County, Georgia",7996
0500000US13183,13183,"Long County, Georgia",14464
0500000US13185,13185,"Lowndes County, Georgia",109233
0500000US13187,13187,"Lumpkin County, Georgia",29966
0500000US13189,13189,"McDuffie County, Georgia",21875
0500000US13191,13191,"McIntosh County, Georgia",14333
0500000US13193,13193,"Macon County, Georgia",14740
0500000US13195,13195,"Madison County, Georgia",28120
0500000US13197,13197,"Marion County, Georgia",8742
0500000US13199,13199,"Meriwether County, Georgia",21992
0500000US13201,13201,"Miller County, Georgia",6125
0500000US13205,13205,"Mitchell County, Georgia",23498
0500000US13207,13207,"Monroe County, Georgia",26424
0500000US13209,13209,"Montgomery County, Georgia",9123
0500000US13211,13211,"Morgan County, Georgia",17868
0500000US13213,13213,"Murray County, Georgia",39628
0500000US13215,13215,"Muscogee County, Georgia",189885
0500000US13217,13217,"Newton County, Georgia",99958
0500000US13219,13219,"Oconee County, Georgia",32808
0500000US13221,13221,"Oglethorpe County, Georgia",14899
0500000US13223,13223,"Paulding County, Georgia",142324
0500000US13225,13225,"Peach County, Georgia",27695
0500000US13227,13227,"Pickens County, Georgia",29431
0500000US13229,13229,"Pierce County, Georgia",18758
0500000US13231,13231,"Pike County, Georgia",17869
0500000US13233,13233,"Polk County, Georgia",41475
0500000US13235,13235,"Pulaski County, Georgia",12010
0500000US13237,13237,"Putnam County, Georgia",21218
0500000US13239,13239,"Quitman County, Georgia",2513
0500000US13241,13241,"Rabun County, Georgia",16276
0500000US13243,13243,"Randolph County, Georgia",7719
0500000US13245,13245,"Richmond County, Georgia",200549
0500000US13247,13247,"Rockdale County, Georgia",85215
0500000US13249,13249,"Schley County, Georgia",5010
0500000US13251,13251,"Screven County, Georgia",14593
0500000US13253,13253,"Seminole County, Georgia",8729
0500000US13255,13255,"Spalding County, Georgia",64073
0500000US13257,13257,"Stephens County, Georgia",26175
0500000US13259,13259,"Stewart County, Georgia",6058
0500000US13261,13261,"Sumter County, Georgia",32819
0500000US13263,13263,"Talbot County, Georgia",6865
0500000US13265,13265,"Taliaferro County, Georgia",1717
0500000US13267,13267,"Tattnall County, Georgia",25520
0500000US13269,13269,"Taylor County, Georgia",8906
0500000US13271,13271,"Telfair County, Georgia",16500
0500000US13273,13273,"Terrell County, Georgia",9315
0500000US13275,13275,"Thomas County, Georgia",44720
0500000US13277,13277,"Tift County, Georgia",40118
0500000US13279,13279,"Toombs County, Georgia",27223
0500000US13281,13281,"Towns County, Georgia",10471
0500000US13283,13283,"Treutlen County, Georgia",6885
0500000US13285,13285,"Troup County, Georgia",67044
0500000US13287,13287,"Turner County, Georgia",8930
0500000US13289,13289,"Twiggs County, Georgia",9023
0500000US13291,13291,"Union County, Georgia",21356
0500000US13293,13293,"Upson County, Georgia",27153
0500000US13295,13295,"Walker County, Georgia",68756
0500000US13297,13297,"Walton County, Georgia",83768
0500000US13299,13299,"Ware County, Georgia",36312
0500000US13301,13301,"Warren County, Georgia",5834
0500000US13303,13303,"Washington County, Georgia",21187
0500000US13305,13305,"Wayne County, Georgia",30099
0500000US13307,13307,"Webster County, Georgia",2799
0500000US13309,13309,"Wheeler County, Georgia",7421
0500000US13311,13311,"White County, Georgia",27144
0500000US13313,13313,"Whitfield County, Georgia",102599
0500000US13315,13315,"Wilcox County, Georgia",9255
0500000US13317,13317,"Wilkes County, Georgia",10593
0500000US13319,13319,"Wilkinson County, Georgia",9563
0500000US13321,13321,"Worth County, Georgia",21679
0500000US15001,15001,"Hawaii County, Hawaii",185079
0500000US15003,15003,"Honolulu County, Hawaii",953207
0500000US15005,15005,"Kalawao County, Hawaii",90
