GEOID,Name,state_new,,,,,
05000US08069,"Larimer County, Colorado",DS,,,,,
05000US08071,"Las Animas County, Colorado",SF,,,,,
05000US08073,"Lincoln County, Colorado",SF,,,,,
05000US08075,"Logan County, Colorado",SY,,,,,
05000US08077,"Mesa County, Colorado",DS,,,,,
05000US08079,"Mineral County, Colorado",DS,,,,,
05000US08081,"Moffat County, Colorado",DS,,,,,
05000US08083,"Montezuma County, Colorado",DS,,,,,
05000US08085,"Montrose County, Colorado",DS,,,,,
05000US08087,"Morgan County, Colorado",SF,,,,,
05000US08089,"Otero County, Colorado",SF,,,,,
05000US08091,"Ouray County, Colorado",DS,,,,,
05000US08093,"Park County, Colorado",CD,,,,,
05000US08095,"Phillips County, Colorado",SY,,,,,
05000US08097,"Pitkin County, Colorado",DS,,,,,
05000US08099,"Prowers County, Colorado",SF,,,,,
05000US08101,"Pueblo County, Colorado",CD,,,,,
05000US08103,"Rio Blanco County, Colorado",DS,,,,,
05000US08105,"Rio Grande County, Colorado",DS,,,,,
05000US08107,"Routt County, Colorado",DS,,,,,
05000US08109,"Saguache County, Colorado",DS,,,,,
05000US08111,"San Juan County, Colorado",DS,,,,,
05000US08113,"San Miguel County, Colorado",DS,,,,,
05000US08115,"Sedgwick County, Colorado",SY,,,,,
05000US08117,"Summit County, Colorado",DS,,,,,
05000US08119,"Teller County, Colorado",CD,,,,,
05000US08121,"Washington County, Colorado",SF,,,,,
05000US08123,"Weld County, Colorado",CD,,,,,
05000US08125,"Yuma County, Colorado",SF,,,,,
05000US09001,"Fairfield County, Connecticut",HV,,,,,
05000US09003,"Hartford County, Connecticut",NN,,,,,
05000US09005,"Litchfield County, Connecticut",NN,,,,,
05000US09007,"Middlesex County, Connecticut",NN,,,,,
05000US09009,"New Haven County, Connecticut",HV,,,,,
05000US09011,"New London County, Connecticut",NN,,,,,
05000US09013,"Tolland County, Connecticut",NN,,,,,
05000US09015,"Windham County, Connecticut",NN,,,,,
05000US10001,"Kent County, Delaware",MX,,,,,
05000US10003,"New Castle County, Delaware",PD,,,,,
05000US10005,"Sussex County, Delaware",MX,,,,,
05000US11001,"District of Columbia, District of Columbia",FE,,,,,
05000US12001,"Alachua County, Florida",FC,,,,,
05000US12003,"Baker County, Florida",FC,,,,,
05000US12005,"Bay County, Florida",DX,,,,,
05000US12007,"Bradford County, Florida",FC,,,,,
05000US12009,"Brevard County, Florida",FC,,,,,
05000US12011,"Broward County, Florida",LF,,,,,
05000US12013,"Calhoun County, Florida",DX,,,,,
05000US12015,"Charlotte County, Florida",SU,,,,,
05000US12017,"Citrus County, Florida",SU,,,,,
05000US12019,"Clay County, Florida",FC,,,,,
05000US12021,"Collier County, Florida",SU,,,,,
05000US12023,"Columbia County, Florida",DX,,,,,
05000US12027,"DeSoto County, Florida",SU,,,,,
05000US12029,"Dixie County, Florida",SU,,,,,
05000US12031,"Duval County, Florida",FC,,,,,
05000US12033,"Escambia County, Florida",DX,,,,,
05000US12035,"Flagler County, Florida",FC,,,,,
05000US12037,"Franklin County, Florida",DX,,,,,
05000US12039,"Gadsden County, Florida",DX,,,,,
05000US12041,"Gilchrist County, Florida",SU,,,,,
05000US12043,"Glades County, Florida",LF,,,,,
05000US12045,"Gulf County, Florida",DX,,,,,
05000US12047,"Hamilton County, Florida",DX,,,,,
05000US12049,"Hardee County, Florida",SU,,,,,
05000US12051,"Hendry County, Florida",SU,,,,,
05000US12053,"Hernando County, Florida",SU,,,,,
05000US12055,"Highlands County, Florida",LF,,,,,
05000US12057,"Hillsborough County, Florida",SU,,,,,
05000US12059,"Holmes County, Florida",DX,,,,,
05000US12061,"Indian River County, Florida",FC,,,,,
05000US12063,"Jackson County, Florida",DX,,,,,
05000US12065,"Jefferson County, Florida",DX,,,,,
05000US12067,"Lafayette County, Florida",SU,,,,,
05000US12069,"Lake County, Florida",SU,,,,,
05000US12071,"Lee County, Florida",SU,,,,,
05000US12073,"Leon County, Florida",DX,,,,,
05000US12075,"Levy County, Florida",SU,,,,,
05000US12077,"Liberty County, Florida",DX,,,,,
05000US12079,"Madison County, Florida",DX,,,,,
05000US12081,"Manatee County, Florida",SU,,,,,
05000US12083,"Marion County, Florida",FC,,,,,
05000US12085,"Martin County, Florida",LF,,,,,
05000US12086,"Miami-Dade County, Florida",LF,,,,,
05000US12087,"Monroe County, Florida",LF,,,,,
05000US12089,"Nassau County, Florida",FC,,,,,
05000US12091,"Okaloosa County, Florida",DX,,,,,
05000US12093,"Okeechobee County, Florida",LF,,,,,
05000US12095,"Orange County, Florida",FC,,,,,
05000US12097,"Osceola County, Florida",FC,,,,,
05000US12099,"Palm Beach County, Florida",LF,,,,,
05000US12101,"Pasco County, Florida",SU,,,,,
05000US12103,"Pinellas County, Florida",SU,,,,,
05000US12105,"Polk County, Florida",SU,,,,,
05000US12107,"Putnam County, Florida",FC,,,,,
05000US12109,"St. Johns County, Florida",FC,,,,,
05000US12111,"St. Lucie County, Florida",FC,,,,,
05000US12113,"Santa Rosa County, Florida",DX,,,,,
05000US12115,"Sarasota County, Florida",SU,,,,,
05000US12117,"Seminole County, Florida",FC,,,,,
05000US12119,"Sumter County, Florida",SU,,,,,
