GEOID,state_new
05000US17139,LI
05000US17141,LI
05000US17143,LI
05000US17145,LI
05000US17147,LI
05000US17149,LI
05000US17151,OV
05000US17153,BR
05000US17155,LI
05000US17157,LI
05000US17159,OV
05000US17161,LI
05000US17163,LI
05000US17165,OV
05000US17167,LI
05000US17169,LI
05000US17171,LI
05000US17173,LI
05000US17175,LI
05000US17177,LI
05000US17179,LI
05000US17181,LI
05000US17183,LI
05000US17185,OV
05000US17187,LI
05000US17189,LI
05000US17191,OV
05000US17193,OV
05000US17195,LI
05000US17197,XXXXX
05000US17199,LI
05000US17201,LI
05000US17203,LI
05000US18001,BH
05000US18003,BH
05000US18005,BH
05000US18007,SL
05000US18009,BH
05000US18011,LI
05000US18013,BH
05000US18015,SL
05000US18017,SL
05000US18019,OV
05000US18021,LI
05000US18023,LI
05000US18025,OV
05000US18027,OV
05000US18029,OV
05000US18031,BH
05000US18033,BH
05000US18035,BH
05000US18037,OV
05000US18039,SL
05000US18041,BH
05000US18043,LI
05000US18045,LI
05000US18047,OV
05000US18049,SL
05000US18051,OV
05000US18053,BH
05000US18055,LI
05000US18057,BH
05000US18059,BH
05000US18061,OV
05000US18063,LI
05000US18065,BH
05000US18067,BH
05000US18069,BH
05000US18071,LI
05000US18073,SL
05000US18075,BH
05000US18077,OV
05000US18079,OV
05000US18081,BH
05000US18083,OV
05000US18085,SL
05000US18087,BH
05000US18089,SL
05000US18091,SL
05000US18093,OV
05000US18095,BH
05000US18097,BH
05000US18099,SL
05000US18101,OV
05000US18103,BH
05000US18105,LI
05000US18107,LI
05000US18109,LI
05000US18111,LI
05000US18113,BH
05000US18115,OV
05000US18117,OV
05000US18119,LI
05000US18121,LI
05000US18123,OV
05000US18125,OV
05000US18127,SL
05000US18129,OV
05000US18131,SL
05000US18133,LI
05000US18135,BH
05000US18137,OV
05000US18139,BH
05000US18141,SL
05000US18143,OV
05000US18145,BH
05000US18147,OV
05000US18149,SL
05000US18151,BH
05000US18153,LI
05000US18155,OV
05000US18157,LI
05000US18159,BH
05000US18161,BH
05000US18163,OV
05000US18165,LI
05000US18167,LI
05000US18169,BH
05000US18171,LI
05000US18173,OV
05000US18175,LI
05000US18177,BH
05000US18179,BH
05000US18181,SL
05000US18183,BH
05000US19001,HL
05000US19003,LI
05000US19005,HL
05000US19007,LI
05000US19009,HL
05000US19011,HL
05000US19013,HL
05000US19015,HL
05000US19017,HL
05000US19019,HL
05000US19021,HL
05000US19023,HL
05000US19025,HL
05000US19027,HL
05000US19029,HL
05000US19031,HL
05000US19033,HL
05000US19035,HL
05000US19037,HL
05000US19039,LI
05000US19041,HL
05000US19043,HL
05000US19045,HL
05000US19047,HL
05000US19049,HL
05000US19051,LI
05000US19053,LI
05000US19055,HL
05000US19057,LI
05000US19059,HL
05000US19061,HL
05000US19063,HL
05000US19065,HL
05000US19067,HL
05000US19069,HL
05000US19071,SF
05000US19073,HL
05000US19075,HL
05000US19077,HL
05000US19079,HL
05000US19081,HL
05000US19083,HL
05000US19085,HL
05000US19087,LI
05000US19089,HL
05000US19091,HL
05000US19093,HL
05000US19095,HL
05000US19097,HL
05000US19099,HL
05000US19101,LI
05000US19103,HL
05000US19105,HL
05000US19107,LI
05000US19109,HL
05000US19111,LI
05000US19113,HL
05000US19115,LI
05000US19117,LI
05000US19119,HL
05000US19121,HL
05000US19123,LI
05000US19125,LI
05000US19127,HL
05000US19129,HL
05000US19131,HL
05000US19133,HL
05000US19135,LI
05000US19137,LI
05000US19139,LI
05000US19141,HL
05000US19143,HL
05000US19145,LI
05000US19147,HL
05000US19149,HL
05000US19151,HL
05000US19153,HL
05000US19155,HL
05000US19157,HL
05000US19159,LI
05000US19161,HL
05000US19163,LI
05000US19165,HL
05000US19167,HL
05000US19169,HL
05000US19171,HL
05000US19173,LI
05000US19175,LI
05000US19177,LI
05000US19179,LI
05000US19181,LI
05000US19183,LI
05000US19185,LI
05000US19187,HL
05000US19189,HL
05000US19191,HL
05000US19193,HL
05000US19195,HL
05000US19197,LI
05000US20001,SF
05000US20003,SF
05000US20005,SF
05000US20007,SF
05000US20009,SF
05000US20011,SF
05000US20013,SF
05000US20015,SF
05000US20017,SF
05000US20019,SF
05000US20021,SF
05000US20023,SF
05000US20025,SF
05000US20027,SF
05000US20029,SF
05000US20031,SF
05000US20033,SF
05000US20035,SF
05000US20037,SF
05000US20039,SF
05000US20041,SF
05000US20043,SF
05000US20045,SF
05000US20047,SF
05000US20049,SF
05000US20051,SF
05000US20053,SF
05000US20055,SF
05000US20057,SF
05000US20059,SF
05000US20061,SF
05000US20063,SF
05000US20065,SF
05000US20067,SF
05000US20069,SF
05000US20071,SF
05000US20073,SF
05000US20075,SF
05000US20077,SF
05000US20079,SF
05000US20081,SF
05000US20083,SF
05000US20085,SF
05000US20087,SF
05000US20089,SF
05000US20091,SF
05000US20093,SF
05000US20095,SF
05000US20097,SF
05000US20099,SF
05000US20101,SF
05000US20103,SF
05000US20105,SF
05000US20107,SF
05000US20109,SF
05000US20111,SF
05000US20113,SF
05000US20115,SF
05000US20117,SF
05000US20119,SF
05000US20121,SF
05000US20123,SF
05000US20125,SF
05000US20127,SF
05000US20129,SF
05000US20131,SF
05000US20133,SF
05000US20135,SF
05000US20137,SF
05000US20139,SF
05000US20141,SF
05000US20143,SF
05000US20145,SF
05000US20147,SF
05000US20149,SF
05000US20151,SF
05000US20153,SF
05000US20155,SF
05000US20157,SF
05000US20159,SF
05000US20161,SF
05000US20163,SF
05000US20165,SF
05000US20167,SF
05000US20169,SF
05000US20171,SF
05000US20173,SF
05000US20175,SF
05000US20177,SF
05000US20179,SF
05000US20181,SF
05000US20183,SF
05000US20185,SF
05000US20187,SF
05000US20189,SF
05000US20191,SF
05000US20193,SF
05000US20195,SF
05000US20197,SF
05000US20199,SF
05000US20201,SF
05000US20203,SF
05000US20205,SF
05000US20207,SF
05000US20209,SF
05000US21001,BN
05000US21003,BN
05000US21005,OV
05000US21007,BR
05000US21009,BN
05000US21011,OV
05000US21013,AP
05000US21015,OV
05000US21017,OV
05000US21019,OV
05000US21021,OV
05000US21023,OV
05000US21025,AP
05000US21027,OV
05000US21029,OV
05000US21031,OV
05000US21033,OV
05000US21035,BN
05000US21037,OV
05000US21039,BR
05000US21041,OV
05000US21043,OV
05000US21045,BN
05000US21047,BN
05000US21049,OV
05000US21051,AP
05000US21053,BN
05000US21055,OV
05000US21057,BN
05000US21059,OV
05000US21061,BN
05000US21063,OV
05000US21065,OV
05000US21067,OV
05000US21069,OV
05000US21071,AP
05000US21073,OV
05000US21075,BR
05000US21077,OV
05000US21079,OV
05000US21081,OV
05000US21083,BN
05000US21085,OV
05000US21087,BN
05000US21089,OV
05000US21091,OV
05000US21093,OV
05000US21095,AP
05000US21097,OV
05000US21099,BN
05000US21101,OV
05000US21103,OV
05000US21105,BR
05000US21107,OV
05000US21109,AP
05000US21111,OV
05000US21113,OV
05000US21115,OV
05000US21117,OV
05000US21119,AP
05000US21121,AP
05000US21123,OV
05000US21125,BN
05000US21127,OV
05000US21129,OV
05000US21131,AP
05000US21133,AP
05000US21135,OV
05000US21137,BN
05000US21139,OV
05000US21141,BN
05000US21143,OV
05000US21145,OV
05000US21147,AP
05000US21149,OV
05000US21151,OV
05000US21153,OV
05000US21155,OV
05000US21157,BN
05000US21159,AP
05000US21161,OV
05000US21163,OV
05000US21165,OV
05000US21167,OV
05000US21169,BN
05000US21171,BN
05000US21173,OV
05000US21175,OV
05000US21177,OV
05000US21179,OV
05000US21181,OV
05000US21183,OV
05000US21185,OV
05000US21187,OV
05000US21189,AP
05000US21191,OV
05000US21193,AP
05000US21195,AP
05000US21197,OV
05000US21199,BN
05000US21201,OV
05000US21203,BN
05000US21205,OV
05000US21207,BN
05000US21209,OV
05000US21211,OV
05000US21213,BN
05000US21215,OV
05000US21217,BN
05000US21219,BN
05000US21221,BN
05000US21223,OV
05000US21225,OV
05000US21227,BN
05000US21229,OV
05000US21231,BN
05000US21233,OV
05000US21235,AP
05000US21237,OV
05000US21239,OV
05000US22001,OZ
05000US22003,OZ
05000US22005,BR
05000US22007,BR
05000US22009,BR
05000US22011,OZ
05000US22013,OZ
05000US22015,OZ
05000US22017,RR
05000US22019,OZ
05000US22021,BR
05000US22023,OZ
05000US22025,BR
05000US22027,OZ
05000US22029,BR
05000US22031,OZ
05000US22033,BR
05000US22035,BR
05000US22037,BR
05000US22039,OZ
05000US22041,BR
05000US22043,OZ
05000US22045,BR
05000US22047,BR
05000US22049,OZ
05000US22051,BR
05000US22053,OZ
05000US22055,BR
05000US22057,BR
05000US22059,BR
05000US22061,OZ
05000US22063,BR
05000US22065,BR
05000US22067,BR
05000US22069,OZ
05000US22071,BR
05000US22073,OZ
05000US22075,BR
05000US22077,BR
05000US22079,OZ
05000US22081,OZ
05000US22083,BR
05000US22085,OZ
05000US22087,BR
05000US22089,BR
05000US22091,BR
05000US22093,BR
05000US22095,BR
05000US22097,BR
05000US22099,BR
05000US22101,OZ
05000US22103,BR
05000US22105,BR
05000US22107,BR
05000US22109,BR
05000US22111,OZ
05000US22113,BR
05000US22115,OZ
05000US22117,BR
05000US22119,OZ
05000US22121,BR
05000US22123,BR
05000US22125,BR
05000US22127,OZ
05000US23001,NN
05000US23003,NN
05000US23005,NN
05000US23007,NN
05000US23009,NN
05000US23011,NN
05000US23013,NN
05000US23015,NN
05000US23017,NN
05000US23019,NN
05000US23021,NN
05000US23023,NN
05000US23025,NN
05000US23027,NN
05000US23029,NN
05000US23031,BO
05000US24001,MX
05000US24003,MX
05000US24005,FE
